423,02:30,Luverdense,Criciuma,1.75,2.90,3.50,,
424,02:45,C. Porteno,Atl. Nacional,2.10,2.90,2.60,1.35,2.15
434,21:00,HB Koge,Viborg,3.20,3.20,1.75,,
435,21:00,Næstved,Nordsjaelland,5.50,3.60,1.35,,
436,21:00,Schaffhausen,Sion,5.50,3.60,1.35,,
438,22:45,BVB Dortmund,Sporting,1.25,4.00,7.00,2.15,1.35
439,22:45,Kopenhag,Leicester,2.00,3.00,2.70,1.50,1.85
440,22:45,Juventus,Lyon,1.15,4.75,9.00,1.80,1.55
155,20:30,Villarreal,R. Betis,1.35,3.60,5.50,1.65,1.70
156,22:45,Paris SG,Rennes,1.10,5.00,12.50,2.15,1.35
157,22:45,Roma,Bologna,1.15,4.75,9.00,2.15,1.35
158,22:45,Sevilla,Barcelona,5.50,3.60,1.35,2.30,1.30
